"","lneconaid","l.physint","l.polity2","l.lneconaid","l.lnrgdp","l.lnpop","colony","recep","donor"
"198",0.557998776435852,4,-1,3.68026113510132,6.70842599868774,10.4018411636353,0,"Tanzania/Tanganyika","Australia"
"199",3.47825050354004,2,9,2.96805834770203,8.76137161254883,11.0297718048096,0,"Thailand","Australia"
"200",0,4,-2,0,6.76690578460693,8.49631690979004,0,"Togo","Australia"
"202",0,1,10,0,9.40146446228027,7.03079557418823,0,"Trinidad and Tobago","Australia"
"203",0,2,-3,0,8.82362842559814,9.15679264068604,0,"Tunisia","Australia"
"204",0.306420713663101,7,7,0,8.60515689849854,11.1146650314331,0,"Turkey/Ottoman Empire","Australia"
"205",0,3,-9,0,8.79034519195557,8.39704132080078,0,"Turkmenistan","Australia"
"208",1.90320873260498,5,-4,2.63175058364868,6.9390697479248,10.0369310379028,0,"Uganda","Australia"
"209",0,2,7,0,8.44607925415039,10.8110542297363,0,"Ukraine","Australia"
"210",0,0,-8,0,10.2787609100342,7.75401830673218,0,"United Arab Emirates","Australia"
"211",0,1,10,0,10.0774126052856,10.9762058258057,0,"United Kingdom","Australia"
"212",0,1,10,0,10.4176139831543,12.5470666885376,0,"United States of America","Australia"
"213",0,1,10,0,9.30693244934082,8.10431098937988,0,"Uruguay","Australia"
"214",0,5,-9,0,8.18271541595459,10.1008338928223,0,"Uzbekistan","Australia"
"216",0.763023972511292,4,7,0,8.88089275360107,10.0502767562866,0,"Venezuela","Australia"
"217",5.64801931381226,4,-7,4.65769910812378,7.65994453430176,11.2579956054688,0,"Vietnam, Democratic Republic of","Australia"
"220",0,5,-2,0,6.91997051239014,9.73533630371094,0,"Yemen (Arab Republic of Yemen)","Australia"
"221",3.34024429321289,8,-6,1.5668785572052,7.56014823913574,9.27171802520752,0,"Yugoslavia (Serbia)","Australia"
"222",3.20057821273804,3,1,1.42257368564606,6.72789859771729,9.16845226287842,0,"Zambia","Australia"
"223",5.80288648605347,2,-3,5.04633855819702,8.07700347900391,9.39448738098145,0,"Zimbabwe (Rhodesia)","Australia"
"224",5.37465047836304,8,-7,4.398606300354,6.78055810928345,10.1250591278076,0,"Afghanistan","Austria"
"226",4.37644624710083,3,5,2.93734574317932,8.08874607086182,8.1482982635498,0,"Albania","Austria"
"227",1.38345193862915,8,-3,1.23566079139709,8.63241672515869,10.3302717208862,0,"Algeria","Austria"
"230",3.34001326560974,6,-3,2.68298101425171,7.54266405105591,9.2034273147583,0,"Angola","Austria"
"233",0,4,8,0,9.35757732391357,10.5206661224365,0,"Argentina","Austria"
"234",4.680823802948,2,5,4.15339279174805,8.06196308135986,8.117995262146,0,"Armenia","Austria"
"237",0,1,10,0,10.1524295806885,9.84406089782715,0,"Australia","Austria"
"238",0,1,10,0,10.1701173782349,8.99841403961182,0,"Austria","Austria"
"239",2.80587983131409,3,-7,2.32400369644165,8.05531311035156,8.95275115966797,0,"Azerbaijan","Austria"
"241",0,3,-9,0,9.80116176605225,6.43395233154297,0,"Bahrain","Austria"
"242",1.00344896316528,4,6,0.34895196557045,7.49559736251831,11.7593421936035,0,"Bangladesh","Austria"
"244",1.05554258823395,3,-7,0,9.13955307006836,9.24786472320557,0,"Belarus (Byelorussia)","Austria"
"245",0,1,10,0,10.0771589279175,9.2373514175415,0,"Belgium","Austria"
"247",1.39161586761475,0,6,1.48844492435455,7.10825252532959,8.73715686798096,0,"Benin","Austria"
"249",7.6694598197937,3,-8,6.93025255203247,6.70122289657593,7.58153629302979,0,"Bhutan","Austria"
